formula,result,description
"3 Craneos Perfectos, 1 Objeto Raro, Piedra de Jordan",A??ade un engarce al Objeto Raro,"Los Objetos raros solo pueden tener un engarce. Eso en objetos que puedan tener engarces: Armas, Escudos, Armaduras o Yelmos."
"1 Craneo Perfecto, 1 Objeto Raro, Piedra de Jordan",el mismo Objeto Raro de Alta Calidad,L a formula que sigue es: ilvl = int(0.66 * clvl) + int(0.66 * ilvl).
"6 Craneos Perfectos, 1 Objeto Raro",el mismo Objeto Raro de algun tipo,Con esta saldria el mismo objeto raro con modificadores aleatorios. De nivel de los modificadores ilvl 40. Solo para objetos que ocupen 3x2 en el cubo. La Formula es: ilvl = int(0.4 * clvl) + int(0.4 * ilvl).
3 Anillos Magicos,1 Amuleto magico aleatorio,La formula es: ilvl = int(0.75 * clvl).
3 Amuletos Magicos,1 Anillo magico aleatorio,La Formula es: ilvl = int(.75 * clvl).
"3 Pociones de Vida, 3 Pociones de Mana, 1 Gema Fragmentada",1 Pocion de Rejuvenecimiento,Las pociones pueden ser de cualquier tipo.
"3 Pociones de Vida, 3 Pociones de Mana, 1 Gema",1 Pocion de Rejuvenecimiento Completa,"Las pociones pueden ser de cualquier tipo. La gema tiene que ser cualquier esmeralda, rubi, diamante... No valen fragmentadas, estropeadas, sin defectos o perfectas"
3 Pocion de Rejuvenecimiento,,
"1 Pocion de Gas, Pocion de Vida",1 Pocion Antidoto,Vale cualquier pocion de vida.
3 Gemas del mismo tipo y clase,1 Gema del mismo tipo y un Grado Superior,Usa esta formula para obtener gemas de mejor calidad.
"3 Gemas Perfectas, 1 Objeto Magico",Otro Objeto Magico Con modificadores Aleatorios,"Esto se usa para obtener hechizos buenos de malos. Para conseguir Objetos Crueles como: Arcos, Garras... Recuerda que es para cualquier Objeto Magico. Se pueden Obtener Objetos con modificadores de nivel 100. No afecta el nivel del personaje."
"6 Gemas Perfectas, 1 Amuleto",1 Amuleto Prisma,Obtendras un amuleto de resistencias a todo (+16-20 a las Resistencias) y tienes posibilidades de obtener otro modificador. El ilvl sera de 50.
"1 Anillo, 1 Esmeralda Perfecta, 1 Pocion Antidoto",1 Anillo Jade,Anillo con resistencia al Veneno de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"1 Anillo, 1 Rubi Perfecta, 1 Pocion Explosion",1 Anillo Garnet,Anillo con resistencia al Fuego de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"1 Anillo, 1 Topacio Perfecta, 1 Pocion Rejuvenecimiento",1 Anillo Coral,Anillo con resistencia al Relampago de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"1 Anillo, 1 Zafiro Perfecta, 1 Pocion Desconjelamiento",1 Anillo Cobalto,Anillo con resistencia al Frio de (21-30)% es aleatorio. Puede aparecer con otro modificador. El ilvl sera de 30.
"3 Gemas, 1 Arma Engarzable",Arma Magica Engarzable,"Las Gemas son sin modificadores (fragmentadas, estropeadas, sin defectos, perfectas). El Arma obtenida es del mismo tipo. Es una manera de conseguir de un objeto engarzable, un objeto magico engarzable. Los modificadores son aleatorios con nivel ilvl=30 y los engarces seran 1 a 2."
"3 Gemas Fragmentadas, 1 Arma Magica",Arma Magica Engarzable,Es una forma de obtener un arma con 1 o 2 engarces y modificadores de ilvl=25.
"3 Gemas Sin Defectos, 1 Arma Magica",Arma Magica Engarzable,Se obtiene la mismo tipo de arma. Los Modificadores son aleatorios ilvl=30 y los engarces seran 1 o 2.
"1 TAL, 1 THUL, 1 Topacio Perfecto, Armadura Normal",Armadura Engarzable,"Obtendremos el mismo objeto de algun tipo engarzable. El maximo numero de engarces que puede tener cualquier objeto es de 6. ?Como afecta en estos objetos esto? De la siguiente manera. Tenemos que saber los huecos base que tiene el objeto en cuestion. Si fuera un yelmo que de maximo pudiera tener 3 engarces: 1/6 para 1 engarce, 1/6 para tener 2 engarces y 4/6 de tener 3. Si fuera un escudo de 4 engarces: 1/6 para 1 engarce, 1/6 para 2, 1/6 para 3 y 3/6 para 4."
